title,genres,bpm,length,gain,key
Winter Wonderland,pop,115.0,131,-10.3,
Have Yourself A Merry Little Christmas,unknown,132.0,182,-14.7,
The Long And Winding Road,pop,132.9,283,-15.9,
Wave,unknown,113.9,277,-18.3,
Make It Easy On Yourself,blues,123.4,272,-17.8,
Come Saturday Morning,pop,130.0,264,-16.7,
Because Of You,unknown,108.2,177,-10.5,
"Cold, Cold Heart",blues,99.0,163,-12.0,
(Where Do I Begin) Love Story,unknown,140.0,193,-12.9,
Stranger In Paradise,unknown,84.0,183,-11.6,
But Beautiful,unknown,130.0,216,-13.9,
How Do You Keep The Music Playing?,jazz,133.0,326,-14.1,
Cheek To Cheek,unknown,134.0,205,-19.6,
On Green Dolphin Street,unknown,114.0,240,,
Just Friends,jazz,117.5,146,-15.5,
East Of The Sun (West Of The Moon),unknown,92.0,251,-14.6,
I Thought About You,unknown,97.0,176,-15.2,
Night And Day,unknown,111.0,215,-14.8,
A Nightingale Sang In Berkeley Square,unknown,101.0,175,-16.4,
I Wished On The Moon,jazz,122.0,188,-16.7,
Call Me Irresponsible,unknown,108.0,204,-14.9,
Last Night When We Were Young,unknown,95.0,145,-16.3,
Angel Eyes,unknown,93.0,162,-15.6,
Steppin' Out With My Baby,jazz,170.1,173,-16.7,
"Top Hat, White Tie And Tails",jazz,93.5,155,-16.1,
September Song,unknown,131.2,231,-12.9,
Moonglow,unknown,110.0,272,-11.7,
People,unknown,80.0,282,-14.0,
Somewhere Over The Rainbow,unknown,116.0,237,-12.8,
Poor Butterfly,unknown,142.0,341,,
Sentimental Journey,unknown,76.0,208,,
Moonlight In Vermont,unknown,116.0,172,-19.5,
God Bless The Child,jazz,76.0,169,,
Honeysuckle Rose,jazz,104.0,175,-18.0,
Solitude,jazz,89.0,176,-18.7,
When A Woman Loves A Man,jazz,151.0,191,-18.0,
Willow Weep For Me,unknown,157.0,180,-20.2,
What A Little Moonlight Can Do,jazz,98.0,165,-17.5,
Ill Wind,unknown,113.0,184,-18.2,
Good Morning Heartache,blues,120.0,157,-19.5,
Swinging On A Star,pop,164.0,125,-16.3,
New York State Of Mind,classic-rock,170.0,269,-13.8,
Tony Bennett & K.d. Lang:Dream A Little Dream Of Me,unknown,81.0,233,-13.8,Amin
I Remember You,unknown,121.6,304,-13.3,
Silver Bells,unknown,131.0,195,-13.8,
O Christmas Tree,unknown,108.0,207,-16.1,
Sting & Tony Bennett:Boulevard Of Broken Dreams,unknown,149.0,201,-14.6,
In The Middle Of An Island,unknown,138.737,130,-14.3,
I Will,folk-rock,112.0,244,-17.4,
I Can Understand It,unknown,120.2,340,-14.6,
Save A Prayer,pop,106.0,307,-13.4,
Slave To Love,soft-rock,152.0,236,-13.9,
She's Gone,jazz,156.0,297,-12.7,
The First Cut Is The Deepest,classic-rock,94.6,216,-13.0,
Free Fallin',alternative-rock,183.8,251,-13.2,
First Of May,"['Folk music', 'Easy listening']",136.0,321,-14.1,
Spandau Ballet:True,jazz,97.0,344,-12.8,Gmaj
I Can't Make You Love Me,R&B,123.8,288,-17.3,
Polk Salad Annie,unknown,131.0,223,-11.3,Emaj
Who's Making Love,soul,117.0,192,-11.3,Emin
Little Green Apples,blues,144.0,238,-15.9,Cmaj
Look Of Love,jazz,97.0,198,-14.6,Amin
Rainy Night In Georgia,blues,170.0,214,-15.2,Dmaj
Hard To Handle,soul,105.0,173,-14.4,Amaj
Boom Boom,blues,166.0,472,-14.5,Gbmin
Tomorrow Never Knows,hard-rock,131.7,329,-10.0,
Burt Bacharach & Tony Middleton:My Little Red Book,classic-rock,161.0,296,-12.9,
Candida,unknown,127.0,183,-14.6,
Knock Three Times,pop,123.0,177,-12.6,
Happy Little Pill,pop,92.0,224,-9.9,
Orange Blossom Special,['Bluegrass music'],145.0,337,-8.5,
Antisocial,hard-rock,182.0,309,-10.4,
Little Walter,R&B,107.0,289,-10.2,
Alicia Keys:Diary,R&B,128.0,284,-12.4,
Blow The Whistle,hip-hop,100.0,171,,
L'Hymne De Nos Campagnes,['Reggae'],180.5,205,-9.5,Fmaj
Your Love,classic-rock,140.0,190,-10.1,
When You're Looking Like That,pop,140.0,224,-7.8,
Summer Of '69,hard-rock,139.2,229,-9.6,
Here I Go Again,metal,128.0,217,-8.6,
Living On A Prayer,metal,136.0,255,-9.2,
China In Your Hand,pop,142.0,245,-8.5,
Take On Me,pop,140.0,285,-7.4,
Fly On The Wings Of Love,unknown,140.0,239,-8.9,
Cool On Your Island,pop,126.8,321,-19.4,
Crucify,alternative-rock,166.0,299,-10.4,
Silent All These Years,classic-rock,127.0,249,-10.6,
Winter,unknown,157.0,343,-12.4,
Me And A Gun,['A cappella'],77.0,222,-18.3,
Angie,soft-rock,135.6,265,-17.2,
Smells Like Teen Spirit,alternative-rock,87.0,195,-14.3,
God,alternative-rock,151.0,234,-13.1,
Cornflake Girl,alternative-rock,133.0,305,-11.7,
Professional Widow,alternative-rock,138.0,271,-10.8,
Caught A Lite Sneeze,alternative-rock,158.0,265,-11.4,
Talula,alternative-rock,169.0,248,-12.7,
Putting The Damage On,pop,107.0,310,-17.5,
This Old Man,unknown,140.0,105,-16.1,
Amazing Grace,unknown,133.0,409,-17.1,
Raspberry Swirl,['Electronic dance music'],128.0,221,-8.9,
Bliss,alternative-rock,114.0,222,-11.7,
Dātura,alternative-rock,122.0,506,-13.7,
1000 Oceans,alternative-rock,136.0,258,-13.0,
New Age,unknown,149.0,276,-10.5,
Strange Little Girl,unknown,119.0,229,-12.6,
Enjoy The Silence,pop,161.0,249,-15.9,
I'm Not In Love,soft-rock,136.0,339,-16.2,
I Don't Like Mondays,pop,110.0,260,-12.2,
Happiness Is A Warm Gun,blues,136.0,595,-10.6,
Raining Blood,metal,146.0,382,-9.6,
A Sorta Fairytale,classic-rock,153.0,330,-12.3,
Don't Make Me Come To Vegas,['Dance music'],97.0,291,-9.1,
Taxi Ride,alternative-rock,166.0,240,-9.0,
Sweet The Sting,classic-rock,89.9,254,-12.4,
Sleeps With Butterflies,pop,149.8,215,-11.8,
Home On The Range (Cherokee Edition),unknown,122.0,321,-13.2,
Big Wheel,alternative-rock,94.0,198,-12.5,
Bouncing Off Clouds,alternative-rock,124.0,248,-11.6,
"What Child, Nowell",unknown,115.0,225,-13.2,
Star Of Wonder,unknown,137.0,230,-11.2,
"Holly, Ivy And Rose",unknown,128.0,284,-12.3,
Harps Of Gold,unknown,95.0,190,-12.2,
"Jeanette, Isabella",unknown,140.0,268,-10.8,
Emmanuel,unknown,128.0,179,-10.9,
Comfort And Joy,unknown,162.0,236,-13.7,
"Stille Nacht, Heilige Nacht (Silent Night, Holy Night)",unknown,162.0,219,-12.8,
Good King Wenceslas,unknown,138.0,333,,
Famous Blue Raincoat,['Folk music'],135.0,339,-19.6,
You Belong To Me,unknown,108.0,182,-10.2,
BT:Blue Skies,['Dance music'],126.0,306,-8.7,
Humpty Dumpty,unknown,114.0,171,-14.9,
Como Una Paloma Herida,pop,124.9,152,-9.7,
Vienna,classic-rock,160.0,275,-12.7,Amin
Dancing With Tears In My Eyes,pop,144.0,244,-12.0,Gbmaj
Can't You See,blues,86.0,277,-10.5,
What About Us,R&B,178.0,151,-10.7,
I'll Supply The Love,hard-rock,125.0,224,-11.8,
Georgy Porgy,disco,97.0,248,-18.0,
Hold The Line,hard-rock,95.9,236,-16.2,
99,soft-rock,178.0,312,-15.8,
Rosanna,blues,166.0,331,-14.1,
Make Believe,unknown,141.0,223,-16.5,
I Won't Hold You Back,soft-rock,102.0,293,-15.7,
Africa,soft-rock,92.0,295,-19.7,
Stranger In Town,['New wave music'],154.0,288,-12.5,
I'll Be Over You,soft-rock,174.446,149,-10.5,
Pamela,jazz,97.3,310,-20.8,
Stop Loving You,soft-rock,102.0,270,-12.0,
2 Hearts,hard-rock,115.0,313,-11.0,
Miss Sun,unknown,100.1,304,-12.5,
Could You Be Loved,disco,103.4,230,-10.4,
While My Guitar Gently Weeps,classic-rock,109.086,345,-11.3,
Bottom Of Your Soul,soft-rock,189.65,424,-9.7,
I Got Erection,metal,147.0,126,-11.2,Bmin
Suffragette City,hard-rock,148.0,173,-9.1,Amaj
Ti Amo,pop,186.0,242,-9.3,Amaj
Gloria,disco,131.0,302,-18.7,Emaj
Gloria (Italiano),disco,131.0,262,-6.4,Emaj
So Freakin' Tight,['Deep house'],122.0,344,-10.8,
Habits (Stay High),pop,120.0,258,-9.3,
Talking Body,pop,119.0,238,-8.9,
Alesso:Heroes (We Could Be),['Progressive house'],126.0,209,-7.0,
So Very Hard To Go,blues,95.0,217,-10.4,
Pancho And Lefty,country,154.0,229,-13.6,Dmaj
Follow Me,country,104.0,218,-9.9,
In A Little While,country,102.0,249,-6.7,
Undercover:Baker Street,jazz,123.0,250,-14.8,
I Melt With You,"['Post-punk', 'New wave music']",146.0,240,-7.8,
Pearl's Girl,"['Drum and bass', 'Trance music']",149.796,496,-11.2,
Crocodile,unknown,124.0,390,-12.5,
Born Slippy,"['Hard trance', 'Trance music']",140.0,456,-10.8,
Wie Wir Waren,pop,119.0,220,-9.0,Abmaj
Wie Wir Waren (Demoversion),pop,119.0,220,-9.0,Abmaj
In The Air,['Electro house'],128.0,196,-9.5,
Staring At The Sun,classic-rock,119.837,241,-9.5,
Dreams,classic-rock,129.6,309,-9.8,
King Eternal,classic-rock,134.7,268,-7.9,
Ambulance,classic-rock,93.3,294,-15.8,
Poppy,classic-rock,114.8,367,-9.6,
Don't Love You,classic-rock,99.9,332,-11.6,
Bomb Yourself,classic-rock,130.0,332,-10.4,
Wear You Out,classic-rock,119.8,440,-9.2,
Wolf Like Me,classic-rock,175.0,277,-8.3,
Crying,alternative-rock,113.9,251,-9.0,
Dancing Choose,alternative-rock,102.8,176,-7.3,
Golden Age,classic-rock,110.0,252,-9.6,
DLZ,alternative-rock,175.9,229,-8.1,
Lover's Day,alternative-rock,119.8,354,-9.3,
I Do!!,R&B,99.0,288,-9.8,
Life,pop,136.0,183,-7.6,
Swing,country,107.0,216,-8.3,
Muddy Water,country,130.8,234,-8.3,Gmaj
Oops (Oh My),R&B,159.0,237,-9.9,
Guns For Hands,pop,130.0,277,-9.9,
Holding On To You,hip-hop,179.0,263,-7.6,
Stressed Out,hip-hop,170.0,202,-8.3,
Fairly Local,hip-hop,114.0,207,-9.3,
Lane Boy,"['Reggae', 'Dubstep', 'Oldschool jungle']",160.0,253,-9.0,
They Don't Know,pop,113.0,179,-13.4,
Control,unknown,140.0,432,-10.9,Fmaj
Fallen Angel,unknown,133.0,299,-12.2,Bmin
Woki Mit Deim Popo,hip-hop,120.0,177,-6.6,
Holdin' Heaven,country,189.7,151,-12.7,Fmaj
Lifestyles Of The Not So Rich And Famous,country,138.0,172,-14.3,B
Watermelon Crawl,country,136.9,183,-14.2,Dmin
The Keeper Of The Stars,country,78.0,247,-15.9,Dmaj
Big Love,country,114.5,219,-11.2,Ebmin
Put Your Hand In Mine,country,146.1,272,-11.9,Fmaj
Just Let Me Be In Love,country,96.0,226,-11.2,Dmin
Ten Rounds With Jose Cuervo,country,126.0,182,-11.5,Dmaj
Drinkin' Bone,country,110.0,132,-9.1,Fmaj
The Truth About Men,country,146.0,176,-8.9,Emin
Making Memories Of Us,country,107.0,224,-10.2,Gbmaj
"Come, Thou Fount Of Every Blessing",unknown,122.0,90,-19.7,Dmaj
Talkin' Bout A Revolution,['Contemporary folk music'],119.0,161,-11.2,Emin
Fast Car,pop,103.0,296,-20.3,Gbmin
Baby Can I Hold You,pop,147.0,193,-15.5,Dmaj
Give Me One Reason,blues,100.0,268,-14.2,Emin
Runnin' Behind,country,144.0,174,-12.3,Emaj
Somebody Paints The Wall,country,161.0,195,-12.7,Amaj
Today's Lonely Fool,country,160.0,229,-10.9,Dmaj
Can't Break It To My Heart,country,136.0,174,-11.3,Fmaj
Alibis,country,107.0,182,-16.1,Emaj
If The Good Die Young,country,156.0,147,-11.6,Emin
I See It Now,country,91.0,216,-11.1,Fmaj
If The World Had A Front Porch,country,162.0,185,-13.3,Fmaj
Dear Mr. Fantasy,blues,163.0,342,-12.0,Amaj
Coloured Rain,classic-rock,92.0,163,-12.6,Fmaj
Paper Sun,pop,133.0,213,-11.8,Fmaj
Hole In My Shoe,pop,101.0,181,-12.8,
Feelin' Alright?,folk-rock,190.0,258,-14.2,
John Barleycorn,unknown,166.0,382,-13.6,
Gimme Some Lovin',soul,129.0,542,-14.9,
The Low Spark Of High Heeled Boys,jazz,106.0,704,-10.5,Bmin
Slow Jamz,R&B,145.0,212,-10.1,
Overnight Celebrity,hip-hop,134.0,233,-9.0,
Hope,R&B,107.0,254,-10.2,Bmin
Rabbit In Your Headlights,['Trip hop'],149.0,377,-12.2,
We're Not Gonna Take It,metal,148.0,219,-10.1,Amaj
I Wanna Rock,metal,106.0,185,-6.4,A
I Saw Mommy Kissing Santa Claus,unknown,142.1,219,-9.4,Abmaj
Dappens,lo-fi,185.4,387,-15.5,Fmaj
Don't Want No Woman Who Stays Out All Night Long,lo-fi,162.8,158,-9.9,Dmin
Seems Like Home To Me,lo-fi,114.8,227,-8.1,Bmin
Lady,lo-fi,123.0,342,-10.4,Emin
Up The Country,lo-fi,116.1,367,-10.4,Cmaj
All Your Faithless Loyalties,lo-fi,136.0,317,-15.0,Amaj
Linger On,lo-fi,91.3,477,-8.6,Cmaj
The Deader,lo-fi,167.4,295,-9.2,Cmaj
Miss Meri,lo-fi,157.8,198,-8.4,Bmin
The Hand That Held Me Down,lo-fi,135.6,332,-8.4,Dbmin
Trembling Of The Rose,lo-fi,86.5,312,-14.5,Gmaj
Reflections Of The Marionette,lo-fi,117.8,342,-9.6,Gbmin
Ribbons Round My Tongue,lo-fi,89.9,306,-13.8,Emaj
Fly Low Carrion Crow,lo-fi,94.8,236,-12.3,Gmin
My Baby's Gone,lo-fi,175.2,355,-9.9,Bmaj
Something Good Can Work,classic-rock,119.0,165,-7.6,
I Can Talk,unknown,162.8,175,-7.0,
Undercover Martyn,classic-rock,159.6,166,-7.5,
What You Know,classic-rock,138.7,189,-7.3,
Next Year,pop,127.6,251,-8.4,
Sun,pop,97.0,187,-8.7,
Sleep Alone,unknown,148.2,236,-7.6,
Changing Of The Seasons,pop,130.0,222,-7.0,
Seein' Red,alternative-rock,102.0,227,-8.9,
Please Come Home For Christmas,blues,121.243,122,-5.4,
Friendship To Last,unknown,156.0,193,-11.1,
Paranoid,R&B,97.5,216,-8.6,
Drop That Kitty,hip-hop,106.0,216,-8.7,
Turn Down For What,"['Trap music', 'Electronic dance music']",99.9,221,-6.8,
You Can Leave Your Hat On,classic-rock,87.8,279,-11.6,
Rack City,hip-hop,98.0,208,-11.1,
Make It Nasty,hip-hop,195.0,186,-20.0,
Faded,hip-hop,95.0,213,-11.4,
Far Away,pop,92.0,207,-8.9,
Still Got It,hip-hop,95.0,223,-8.5,
Hookah,hip-hop,95.0,202,-8.8,
Rändajad,pop,123.8,180,-9.3,Fmaj
Sanomi,['Celtic music'],170.0,180,-9.8,
Cantaloop (Flip Fantasia),jazz,115.0,279,-14.9,
We Are The World,pop,145.1,427,-18.7,
Redneck Crazy,country,146.1,216,-8.0,
Whiskey In My Water,country,153.7,188,-8.7,
Can U Get Wit It,hip-hop,124.0,295,-13.2,
Think Of You,R&B,93.0,229,-13.2,
The Many Ways,R&B,153.0,343,-13.0,
You Make Me Wanna...,unknown,164.0,220,-11.5,
Nice & Slow,R&B,122.0,227,-15.2,
My Way,R&B,90.0,214,-12.4,
Bedtime,R&B,159.0,285,-12.4,
U Remind Me,R&B,94.0,266,-10.3,
U Got It Bad,R&B,123.0,247,-11.3,
Pop Ya Collar,R&B,107.0,219,-10.4,
U-Turn,blues,182.0,189,-10.2,
Yeah!,hip-hop,104.0,250,-8.6,
Confessions Part II,R&B,137.0,211,-11.4,
Burn,R&B,119.0,256,-9.8,
Caught Up,R&B,110.0,224,-9.6,
My Boo,R&B,86.0,223,-11.6,
Love In This Club,R&B,139.0,309,-11.5,
Trading Places,R&B,146.0,268,-10.3,
Moving Mountains,R&B,115.8,301,-8.9,
Lil Freak,blues,140.2,234,-9.5,
Papers,R&B,119.8,260,-10.0,
More,['Hi-NRG'],124.9,219,-6.7,
DJ Got Us Fallin' In Love,pop,119.0,222,-6.7,
Hot Tottie,R&B,175.2,299,-6.9,
Enrique Iglesias:Dirty Dancer,pop,132.0,245,-8.6,
Scream,unknown,128.0,235,-8.7,
Climax,"['Electronic music', 'Quiet storm']",136.0,233,-9.4,
Lemme See,unknown,154.0,252,-9.4,
Numb,unknown,124.0,225,-8.5,
Euphoria,unknown,128.0,260,-7.3,
David Guetta:Without You,unknown,128.0,225,-16.2,
Good Kisser,R&B,97.0,236,-10.0,
I Don't Mind,R&B,113.0,251,-10.2,
Justin Bieber:The Christmas Song (Chestnuts Roasting On an Open Fire),jazz,103.0,215,-12.3,
Enrique Iglesias & Usher:Dirty Dancer,pop,132.0,245,-8.6,
Call Me A Mack,blues,91.0,246,-14.5,
DJ Got Us Falling In Love,pop,110.0,244,-21.9,
Yonkers,hip-hop,78.9,251,-8.4,
Domo23,hip-hop,132.9,161,-8.6,
Christian Woman,metal,89.0,538,-12.2,Bmin
Black No. 1 (Little Miss Scare-All),metal,107.0,675,-12.5,Abmaj
Summer Breeze,soft-rock,126.0,289,-11.8,Amaj
Cinnamon Girl,hard-rock,98.0,235,-9.2,Fmaj
Day Tripper,classic-rock,107.0,422,-9.0,B
Black Sabbath (From The Satanic Perspective),metal,94.0,464,-13.5,Amaj
Do Ya,hard-rock,119.0,260,-14.6,
Love Is The Answer,soft-rock,99.0,257,-14.9,
Get Silly,['Snap music'],149.0,228,-8.8,
Wobble (Skit),hip-hop,142.0,25,-16.9,
Wobble,hip-hop,95.0,323,-6.3,
Can I Change My Mind,soul,101.3,174,-12.8,
Turn Back The Hands Of Time,blues,118.0,159,-13.7,
Ain't No Sunshine,blues,111.1,141,-11.4,Amin
Eleanor Rigby,pop,109.4,261,-11.8,
Ormurin Langi,unknown,119.0,353,-8.9,
The Wild Rover,pop,92.0,252,,
Lokka Táttur,unknown,160.0,364,-7.8,
Stargazer,metal,92.0,379,,
Accept:Balls To The Wall,metal,118.1,343,-10.9,E
Accept:Fast As A Shark,metal,140.0,234,-15.7,Emin
Little Altar Boy,unknown,122.0,197,-15.0,Ebmin
Red Roses For A Blue Lady,unknown,109.0,170,-12.8,Gbmaj
Shangri-La,unknown,99.0,126,-11.6,Amaj
Garden In The Rain,unknown,77.0,136,-12.4,Ab
Distant Drums,unknown,95.0,186,-15.3,Abmin
Red Red Wine,soft-rock,82.0,191,,Emaj
I Will Follow,classic-rock,155.0,217,-10.8,
An Cat Dubh,classic-rock,113.0,286,-11.5,
A Day Without Me,classic-rock,155.0,193,-11.0,
The Electric Co.,classic-rock,171.0,286,-11.9,
Another Day,classic-rock,154.0,208,-15.3,
Fire,classic-rock,149.0,232,-11.4,
A Celebration,classic-rock,150.0,177,-11.5,
